"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 10월 06일","27,700.0","28,010.0","28,232.0","27,531.0","287.02K","-1.05%"
"2020년 10월 05일","27,995.0","27,740.0","28,042.0","27,646.0","169.81K","1.56%"
"2020년 10월 02일","27,565.0","27,680.0","27,741.0","27,109.0","281.07K","-0.45%"
"2020년 10월 01일","27,689.0","27,606.0","27,962.0","27,543.0","267.51K","0.09%"
"2020년 09월 30일","27,664.0","27,354.0","27,904.0","27,039.0","297.64K","0.93%"
"2020년 09월 29일","27,408.0","27,498.0","27,619.0","27,213.0","175.15K","-0.27%"
"2020년 09월 28일","27,482.0","27,060.0","27,600.0","27,060.0","181.94K","1.62%"
"2020년 09월 25일","27,043.0","26,772.0","27,123.0","26,424.0","213.70K","1.23%"
"2020년 09월 24일","26,715.0","26,690.0","26,971.0","26,407.0","254.51K","0.11%"
"2020년 09월 23일","26,685.0","27,219.0","27,392.0","26,586.0","235.98K","-1.69%"
"2020년 09월 22일","27,143.0","27,000.0","27,207.0","26,858.0","199.34K","0.33%"
"2020년 09월 21일","27,055.0","27,568.0","27,663.0","26,584.0","264.29K","-2.71%"
"2020년 09월 18일","27,807.3","27,900.0","27,995.0","27,762.0","0.90K","-0.47%"
"2020년 09월 17일","27,938.0","28,069.0","28,112.0","27,550.0","36.70K","-0.41%"
"2020년 09월 16일","28,054.0","28,037.0","28,367.0","27,965.0","31.93K","0.10%"
"2020년 09월 15일","28,027.0","27,978.0","28,245.0","27,933.0","50.84K","0.12%"
"2020년 09월 14일","27,993.0","27,706.0","28,086.0","27,699.0","75.18K","1.38%"
"2020년 09월 11일","27,612.0","27,564.0","27,828.0","27,440.0","113.00K","0.24%"
"2020년 09월 10일","27,545.0","27,944.0","28,159.0","27,432.0","228.78K","-1.53%"
"2020년 09월 09일","27,972.0","27,376.0","28,196.0","27,185.0","220.39K","1.62%"
"2020년 09월 08일","27,525.0","28,136.0","28,404.0","27,440.0","383.74K","-2.82%"
"2020년 09월 07일","28,324.5","28,064.0","28,362.0","27,968.0","-","0.92%"
"2020년 09월 06일","28,067.0","28,063.5","28,142.0","27,887.0","-","-0.02%"
"2020년 09월 04일","28,074.0","28,301.0","28,592.0","27,643.0","389.76K","-0.98%"
"2020년 09월 03일","28,351.0","29,076.0","29,180.0","28,052.0","328.25K","-2.54%"
"2020년 09월 02일","29,090.0","28,637.0","29,152.0","28,611.0","213.54K","1.64%"
"2020년 09월 01일","28,622.0","28,379.0","28,654.0","28,257.0","165.11K","0.72%"
"2020년 08월 31일","28,416.0","28,679.0","28,783.0","28,333.0","187.25K","-0.68%"
"2020년 08월 28일","28,611.0","28,515.0","28,718.0","28,442.0","147.83K","0.50%"
"2020년 08월 27일","28,468.0","28,312.0","28,590.0","28,181.0","210.28K","0.55%"
"2020년 08월 26일","28,312.0","28,215.0","28,339.0","28,095.0","144.03K","0.42%"
"2020년 08월 25일","28,193.0","28,244.0","28,480.0","28,042.0","184.07K","-0.16%"
"2020년 08월 24일","28,239.0","27,900.0","28,266.0","27,877.0","157.20K","1.36%"
"2020년 08월 21일","27,859.0","27,676.0","27,904.0","27,473.0","175.76K","0.69%"
"2020년 08월 20일","27,669.0","27,645.0","27,717.0","27,392.0","161.16K","0.13%"
"2020년 08월 19일","27,632.0","27,744.0","27,855.0","27,560.0","159.84K","-0.31%"
"2020년 08월 18일","27,717.0","27,779.0","27,904.0","27,596.0","142.73K","-0.21%"
"2020년 08월 17일","27,775.0","27,840.0","27,928.0","27,736.0","111.62K","-0.06%"
"2020년 08월 14일","27,792.0","27,828.0","27,911.0","27,592.0","150.51K","-0.11%"
"2020년 08월 13일","27,823.0","27,858.0","27,933.0","27,708.0","141.14K","-0.15%"
"2020년 08월 12일","27,866.0","27,700.0","27,963.0","27,612.0","162.04K","0.91%"
"2020년 08월 11일","27,614.0","27,690.0","28,069.0","27,532.0","236.39K","-0.23%"
"2020년 08월 10일","27,679.0","27,364.0","27,713.0","27,260.0","169.12K","1.27%"
"2020년 08월 07일","27,333.0","27,292.0","27,371.0","27,105.0","188.77K","0.18%"
"2020년 08월 06일","27,285.0","27,067.0","27,301.0","26,924.0","177.41K","0.85%"
"2020년 08월 05일","27,055.0","26,749.0","27,114.0","26,666.0","155.15K","1.27%"
"2020년 08월 04일","26,717.0","26,561.0","26,744.0","26,439.0","145.52K","0.60%"
"2020년 08월 03일","26,558.0","26,400.0","26,603.0","26,197.0","140.69K","0.91%"
"2020년 07월 31일","26,319.0","26,414.0","26,457.0","25,905.0","235.90K","0.39%"
"2020년 07월 30일","26,218.0","26,454.0","26,477.0","25,881.0","214.15K","-0.84%"
"2020년 07월 29일","26,440.0","26,295.0","26,500.0","26,187.0","138.13K","0.54%"
"2020년 07월 28일","26,297.0","26,512.0","26,599.0","26,252.0","147.52K","-0.71%"
"2020년 07월 27일","26,484.0","26,275.0","26,523.0","26,232.0","141.72K","0.62%"
"2020년 07월 24일","26,322.0","26,548.0","26,615.0","26,290.0","179.33K","-0.83%"
"2020년 07월 23일","26,543.0","26,885.0","27,057.0","26,449.0","193.08K","-1.27%"
"2020년 07월 22일","26,884.0","26,727.0","26,928.0","26,526.0","163.00K","0.59%"
"2020년 07월 21일","26,726.0","26,625.0","26,925.0","26,590.0","173.82K","0.35%"
"2020년 07월 20일","26,633.0","26,541.0","26,655.0","26,330.0","168.31K","0.43%"
"2020년 07월 17일","26,520.0","26,565.0","26,724.0","26,502.0","151.72K","-0.12%"
"2020년 07월 16일","26,553.0","26,814.0","26,858.0","26,465.0","198.31K","-0.79%"
"2020년 07월 15일","26,765.0","26,644.0","27,063.0","26,571.0","242.95K","1.03%"
